Vendor,device_type,model,mac_address,serial_number,band_type
TP-Link,Router,Archer C6,AA:BB:26:00:00:26,SN-Router-00038,single_band
Cisco,Modem,MB8600,AA:BB:27:00:00:27,SN-Modem-00039,dual_band
Huawei,Access Point,EAP225,AA:BB:28:00:00:28,SN-AccessPoint-00040,single_band
Nokia,Switch,SG108,AA:BB:29:00:00:29,SN-Switch-00041,dual_band
ZTE,ONT,HG8145V5,AA:BB:2A:00:00:2A,SN-ONT-00042,single_band
TP-Link,ONU,G-140W-C,AA:BB:2B:00:00:2B,SN-ONU-00043,dual_band
Cisco,Router,Archer C6,AA:BB:2C:00:00:2C,SN-Router-00044,single_band
Huawei,Modem,MB8600,AA:BB:2D:00:00:2D,SN-Modem-00045,dual_band
Nokia,Access Point,EAP225,AA:BB:2E:00:00:2E,SN-AccessPoint-00046,single_band
ZTE,Switch,SG108,AA:BB:2F:00:00:2F,SN-Switch-00047,dual_band
TP-Link,ONT,HG8145V5,AA:BB:30:00:00:30,SN-ONT-00048,single_band
Cisco,ONU,G-140W-C,AA:BB:31:00:00:31,SN-ONU-00049,dual_band
Huawei,Router,Archer C6,AA:BB:32:00:00:32,SN-Router-00050,single_band
Nokia,Modem,MB8600,AA:BB:33:00:00:33,SN-Modem-00051,dual_band
ZTE,Access Point,EAP225,AA:BB:34:00:00:34,SN-AccessPoint-00052,single_band
TP-Link,Switch,SG108,AA:BB:35:00:00:35,SN-Switch-00053,dual_band
Cisco,ONT,HG8145V5,AA:BB:36:00:00:36,SN-ONT-00054,single_band
Huawei,ONU,G-140W-C,AA:BB:37:00:00:37,SN-ONU-00055,dual_band
Nokia,Router,Archer C6,AA:BB:38:00:00:38,SN-Router-00056,single_band
ZTE,Modem,MB8600,AA:BB:39:00:00:39,SN-Modem-00057,dual_band
TP-Link,Access Point,EAP225,AA:BB:3A:00:00:3A,SN-AccessPoint-00058,single_band
Cisco,Switch,SG108,AA:BB:3B:00:00:3B,SN-Switch-00059,dual_band
Huawei,ONT,HG8145V5,AA:BB:3C:00:00:3C,SN-ONT-00060,single_band
Nokia,ONU,G-140W-C,AA:BB:3D:00:00:3D,SN-ONU-00061,dual_band
ZTE,Router,Archer C6,AA:BB:3E:00:00:3E,SN-Router-00062,single_band
TP-Link,Modem,MB8600,AA:BB:3F:00:00:3F,SN-Modem-00063,dual_band
Cisco,Access Point,EAP225,AA:BB:40:00:00:40,SN-AccessPoint-00064,single_band
Huawei,Switch,SG108,AA:BB:41:00:00:41,SN-Switch-00065,dual_band
Nokia,ONT,HG8145V5,AA:BB:42:00:00:42,SN-ONT-00066,single_band
ZTE,ONU,G-140W-C,AA:BB:43:00:00:43,SN-ONU-00067,dual_band
TP-Link,Router,Archer C6,AA:BB:44:00:00:44,SN-Router-00068,single_band
Cisco,Modem,MB8600,AA:BB:45:00:00:45,SN-Modem-00069,dual_band
Huawei,Access Point,EAP225,AA:BB:46:00:00:46,SN-AccessPoint-00070,single_band
Nokia,Switch,SG108,AA:BB:47:00:00:47,SN-Switch-00071,dual_band
ZTE,ONT,HG8145V5,AA:BB:48:00:00:48,SN-ONT-00072,single_band
TP-Link,ONU,G-140W-C,AA:BB:49:00:00:49,SN-ONU-00073,dual_band
Cisco,Router,Archer C6,AA:BB:4A:00:00:4A,SN-Router-00074,single_band
Huawei,Modem,MB8600,AA:BB:4B:00:00:4B,SN-Modem-00075,dual_band
Nokia,Access Point,EAP225,AA:BB:4C:00:00:4C,SN-AccessPoint-00076,single_band
ZTE,Switch,SG108,AA:BB:4D:00:00:4D,SN-Switch-00077,dual_band
TP-Link,ONT,HG8145V5,AA:BB:4E:00:00:4E,SN-ONT-00078,single_band
Cisco,ONU,G-140W-C,AA:BB:4F:00:00:4F,SN-ONU-00079,dual_band
Huawei,Router,Archer C6,AA:BB:50:00:00:50,SN-Router-00080,single_band
Nokia,Modem,MB8600,AA:BB:51:00:00:51,SN-Modem-00081,dual_band
ZTE,Access Point,EAP225,AA:BB:52:00:00:52,SN-AccessPoint-00082,single_band
TP-Link,Switch,SG108,AA:BB:53:00:00:53,SN-Switch-00083,dual_band
Cisco,ONT,HG8145V5,AA:BB:54:00:00:54,SN-ONT-00084,single_band
Huawei,ONU,G-140W-C,AA:BB:55:00:00:55,SN-ONU-00085,dual_band
Nokia,Router,Archer C6,AA:BB:56:00:00:56,SN-Router-00086,single_band
ZTE,Modem,MB8600,AA:BB:57:00:00:57,SN-Modem-00087,dual_band
TP-Link,Access Point,EAP225,AA:BB:58:00:00:58,SN-AccessPoint-00088,single_band
Cisco,Switch,SG108,AA:BB:59:00:00:59,SN-Switch-00089,dual_band
Huawei,ONT,HG8145V5,AA:BB:5A:00:00:5A,SN-ONT-00090,single_band
Nokia,ONU,G-140W-C,AA:BB:5B:00:00:5B,SN-ONU-00091,dual_band
ZTE,Router,Archer C6,AA:BB:5C:00:00:5C,SN-Router-00092,single_band
TP-Link,Modem,MB8600,AA:BB:5D:00:00:5D,SN-Modem-00093,dual_band
Cisco,Access Point,EAP225,AA:BB:5E:00:00:5E,SN-AccessPoint-00094,single_band
Huawei,Switch,SG108,AA:BB:5F:00:00:5F,SN-Switch-00095,dual_band
Nokia,ONT,HG8145V5,AA:BB:60:00:00:60,SN-ONT-00096,single_band
ZTE,ONU,G-140W-C,AA:BB:61:00:00:61,SN-ONU-00097,dual_band
TP-Link,Router,Archer C6,AA:BB:62:00:00:62,SN-Router-00098,single_band
Cisco,Modem,MB8600,AA:BB:63:00:00:63,SN-Modem-00099,dual_band
Huawei,Access Point,EAP225,AA:BB:64:00:00:64,SN-AccessPoint-00100,single_band
Nokia,Switch,SG108,AA:BB:65:00:00:65,SN-Switch-00101,dual_band
ZTE,ONT,HG8145V5,AA:BB:66:00:00:66,SN-ONT-00102,single_band
TP-Link,ONU,G-140W-C,AA:BB:67:00:00:67,SN-ONU-00103,dual_band
Cisco,Router,Archer C6,AA:BB:68:00:00:68,SN-Router-00104,single_band
Huawei,Modem,MB8600,AA:BB:69:00:00:69,SN-Modem-00105,dual_band
Nokia,Access Point,EAP225,AA:BB:6A:00:00:6A,SN-AccessPoint-00106,single_band
ZTE,Switch,SG108,AA:BB:6B:00:00:6B,SN-Switch-00107,dual_band
TP-Link,ONT,HG8145V5,AA:BB:6C:00:00:6C,SN-ONT-00108,single_band
Cisco,ONU,G-140W-C,AA:BB:6D:00:00:6D,SN-ONU-00109,dual_band
Huawei,Router,Archer C6,AA:BB:6E:00:00:6E,SN-Router-00110,single_band
Nokia,Modem,MB8600,AA:BB:6F:00:00:6F,SN-Modem-00111,dual_band
ZTE,Access Point,EAP225,AA:BB:70:00:00:70,SN-AccessPoint-00112,single_band
TP-Link,Switch,SG108,AA:BB:71:00:00:71,SN-Switch-00113,dual_band
Cisco,ONT,HG8145V5,AA:BB:72:00:00:72,SN-ONT-00114,single_band
Huawei,ONU,G-140W-C,AA:BB:73:00:00:73,SN-ONU-00115,dual_band
Nokia,Router,Archer C6,AA:BB:74:00:00:74,SN-Router-00116,single_band
ZTE,Modem,MB8600,AA:BB:75:00:00:75,SN-Modem-00117,dual_band
TP-Link,Access Point,EAP225,AA:BB:76:00:00:76,SN-AccessPoint-00118,single_band
Cisco,Switch,SG108,AA:BB:77:00:00:77,SN-Switch-00119,dual_band
Huawei,ONT,HG8145V5,AA:BB:78:00:00:78,SN-ONT-00120,single_band
Nokia,ONU,G-140W-C,AA:BB:79:00:00:79,SN-ONU-00121,dual_band
ZTE,Router,Archer C6,AA:BB:7A:00:00:7A,SN-Router-00122,single_band
TP-Link,Modem,MB8600,AA:BB:7B:00:00:7B,SN-Modem-00123,dual_band
Cisco,Access Point,EAP225,AA:BB:7C:00:00:7C,SN-AccessPoint-00124,single_band
Huawei,Switch,SG108,AA:BB:7D:00:00:7D,SN-Switch-00125,dual_band
Nokia,ONT,HG8145V5,AA:BB:7E:00:00:7E,SN-ONT-00126,single_band
ZTE,ONU,G-140W-C,AA:BB:7F:00:00:7F,SN-ONU-00127,dual_band
TP-Link,Router,Archer C6,AA:BB:80:00:00:80,SN-Router-00128,single_band
Cisco,Modem,MB8600,AA:BB:81:00:01:81,SN-Modem-00129,dual_band
Huawei,Access Point,EAP225,AA:BB:82:00:01:82,SN-AccessPoint-00130,single_band
Nokia,Switch,SG108,AA:BB:83:00:01:83,SN-Switch-00131,dual_band
ZTE,ONT,HG8145V5,AA:BB:84:00:01:84,SN-ONT-00132,single_band
TP-Link,ONU,G-140W-C,AA:BB:85:00:01:85,SN-ONU-00133,dual_band
Cisco,Router,Archer C6,AA:BB:86:00:01:86,SN-Router-00134,single_band
Huawei,Modem,MB8600,AA:BB:87:00:01:87,SN-Modem-00135,dual_band
Nokia,Access Point,EAP225,AA:BB:88:00:01:88,SN-AccessPoint-00136,single_band
ZTE,Switch,SG108,AA:BB:89:00:01:89,SN-Switch-00137,dual_band
TP-Link,ONT,HG8145V5,AA:BB:8A:00:01:8A,SN-ONT-00138,single_band
Cisco,ONU,G-140W-C,AA:BB:8B:00:01:8B,SN-ONU-00139,dual_band
Huawei,Router,Archer C6,AA:BB:8C:00:01:8C,SN-Router-00140,single_band
Nokia,Modem,MB8600,AA:BB:8D:00:01:8D,SN-Modem-00141,dual_band
ZTE,Access Point,EAP225,AA:BB:8E:00:01:8E,SN-AccessPoint-00142,single_band
TP-Link,Switch,SG108,AA:BB:8F:00:01:8F,SN-Switch-00143,dual_band
Cisco,ONT,HG8145V5,AA:BB:90:00:01:90,SN-ONT-00144,single_band
Huawei,ONU,G-140W-C,AA:BB:91:00:01:91,SN-ONU-00145,dual_band
Nokia,Router,Archer C6,AA:BB:92:00:01:92,SN-Router-00146,single_band
ZTE,Modem,MB8600,AA:BB:93:00:01:93,SN-Modem-00147,dual_band
TP-Link,Access Point,EAP225,AA:BB:94:00:01:94,SN-AccessPoint-00148,single_band
Cisco,Switch,SG108,AA:BB:95:00:01:95,SN-Switch-00149,dual_band
Huawei,ONT,HG8145V5,AA:BB:96:00:01:96,SN-ONT-00150,single_band
Nokia,ONU,G-140W-C,AA:BB:97:00:01:97,SN-ONU-00151,dual_band
ZTE,Router,Archer C6,AA:BB:98:00:01:98,SN-Router-00152,single_band
TP-Link,Modem,MB8600,AA:BB:99:00:01:99,SN-Modem-00153,dual_band
Cisco,Access Point,EAP225,AA:BB:9A:00:01:9A,SN-AccessPoint-00154,single_band
Huawei,Switch,SG108,AA:BB:9B:00:01:9B,SN-Switch-00155,dual_band
Nokia,ONT,HG8145V5,AA:BB:9C:00:01:9C,SN-ONT-00156,single_band
ZTE,ONU,G-140W-C,AA:BB:9D:00:01:9D,SN-ONU-00157,dual_band
TP-Link,Router,Archer C6,AA:BB:9E:00:01:9E,SN-Router-00158,single_band
Cisco,Modem,MB8600,AA:BB:9F:00:01:9F,SN-Modem-00159,dual_band
Huawei,Access Point,EAP225,AA:BB:A0:00:01:A0,SN-AccessPoint-00160,single_band
Nokia,Switch,SG108,AA:BB:A1:00:01:A1,SN-Switch-00161,dual_band
ZTE,ONT,HG8145V5,AA:BB:A2:00:01:A2,SN-ONT-00162,single_band
TP-Link,ONU,G-140W-C,AA:BB:A3:00:01:A3,SN-ONU-00163,dual_band
Cisco,Router,Archer C6,AA:BB:A4:00:01:A4,SN-Router-00164,single_band
Huawei,Modem,MB8600,AA:BB:A5:00:01:A5,SN-Modem-00165,dual_band
Nokia,Access Point,EAP225,AA:BB:A6:00:01:A6,SN-AccessPoint-00166,single_band
ZTE,Switch,SG108,AA:BB:A7:00:01:A7,SN-Switch-00167,dual_band
TP-Link,ONT,HG8145V5,AA:BB:A8:00:01:A8,SN-ONT-00168,single_band
Cisco,ONU,G-140W-C,AA:BB:A9:00:01:A9,SN-ONU-00169,dual_band
Huawei,Router,Archer C6,AA:BB:AA:00:01:AA,SN-Router-00170,single_band
Nokia,Modem,MB8600,AA:BB:AB:00:01:AB,SN-Modem-00171,dual_band
ZTE,Access Point,EAP225,AA:BB:AC:00:01:AC,SN-AccessPoint-00172,single_band
TP-Link,Switch,SG108,AA:BB:AD:00:01:AD,SN-Switch-00173,dual_band
Cisco,ONT,HG8145V5,AA:BB:AE:00:01:AE,SN-ONT-00174,single_band
Huawei,ONU,G-140W-C,AA:BB:AF:00:01:AF,SN-ONU-00175,dual_band
Nokia,Router,Archer C6,AA:BB:B0:00:01:B0,SN-Router-00176,single_band
ZTE,Modem,MB8600,AA:BB:B1:00:01:B1,SN-Modem-00177,dual_band
TP-Link,Access Point,EAP225,AA:BB:B2:00:01:B2,SN-AccessPoint-00178,single_band
Cisco,Switch,SG108,AA:BB:B3:00:01:B3,SN-Switch-00179,dual_band
Huawei,ONT,HG8145V5,AA:BB:B4:00:01:B4,SN-ONT-00180,single_band
Nokia,ONU,G-140W-C,AA:BB:B5:00:01:B5,SN-ONU-00181,dual_band
ZTE,Router,Archer C6,AA:BB:B6:00:01:B6,SN-Router-00182,single_band
TP-Link,Modem,MB8600,AA:BB:B7:00:01:B7,SN-Modem-00183,dual_band
Cisco,Access Point,EAP225,AA:BB:B8:00:01:B8,SN-AccessPoint-00184,single_band
Huawei,Switch,SG108,AA:BB:B9:00:01:B9,SN-Switch-00185,dual_band
Nokia,ONT,HG8145V5,AA:BB:BA:00:01:BA,SN-ONT-00186,single_band
ZTE,ONU,G-140W-C,AA:BB:BB:00:01:BB,SN-ONU-00187,dual_band
TP-Link,Router,Archer C6,AA:BB:BC:00:01:BC,SN-Router-00188,single_band
Cisco,Modem,MB8600,AA:BB:BD:00:01:BD,SN-Modem-00189,dual_band
Huawei,Access Point,EAP225,AA:BB:BE:00:01:BE,SN-AccessPoint-00190,single_band
Nokia,Switch,SG108,AA:BB:BF:00:01:BF,SN-Switch-00191,dual_band
ZTE,ONT,HG8145V5,AA:BB:C0:00:01:C0,SN-ONT-00192,single_band
TP-Link,ONU,G-140W-C,AA:BB:C1:00:01:C1,SN-ONU-00193,dual_band
Cisco,Router,Archer C6,AA:BB:C2:00:01:C2,SN-Router-00194,single_band
Huawei,Modem,MB8600,AA:BB:C3:00:01:C3,SN-Modem-00195,dual_band
Nokia,Access Point,EAP225,AA:BB:C4:00:01:C4,SN-AccessPoint-00196,single_band
ZTE,Switch,SG108,AA:BB:C5:00:01:C5,SN-Switch-00197,dual_band
TP-Link,ONT,HG8145V5,AA:BB:C6:00:01:C6,SN-ONT-00198,single_band
Cisco,ONU,G-140W-C,AA:BB:C7:00:01:C7,SN-ONU-00199,dual_band
Huawei,Router,Archer C6,AA:BB:C8:00:01:C8,SN-Router-00200,single_band
Nokia,Modem,MB8600,AA:BB:C9:00:01:C9,SN-Modem-00201,dual_band
ZTE,Access Point,EAP225,AA:BB:CA:00:01:CA,SN-AccessPoint-00202,single_band
TP-Link,Switch,SG108,AA:BB:CB:00:01:CB,SN-Switch-00203,dual_band
Cisco,ONT,HG8145V5,AA:BB:CC:00:01:CC,SN-ONT-00204,single_band
Huawei,ONU,G-140W-C,AA:BB:CD:00:01:CD,SN-ONU-00205,dual_band
Nokia,Router,Archer C6,AA:BB:CE:00:01:CE,SN-Router-00206,single_band
ZTE,Modem,MB8600,AA:BB:CF:00:01:CF,SN-Modem-00207,dual_band
TP-Link,Access Point,EAP225,AA:BB:D0:00:01:D0,SN-AccessPoint-00208,single_band
Cisco,Switch,SG108,AA:BB:D1:00:01:D1,SN-Switch-00209,dual_band
Huawei,ONT,HG8145V5,AA:BB:D2:00:01:D2,SN-ONT-00210,single_band
Nokia,ONU,G-140W-C,AA:BB:D3:00:01:D3,SN-ONU-00211,dual_band
ZTE,Router,Archer C6,AA:BB:D4:00:01:D4,SN-Router-00212,single_band
TP-Link,Modem,MB8600,AA:BB:D5:00:01:D5,SN-Modem-00213,dual_band
Cisco,Access Point,EAP225,AA:BB:D6:00:01:D6,SN-AccessPoint-00214,single_band
Huawei,Switch,SG108,AA:BB:D7:00:01:D7,SN-Switch-00215,dual_band
Nokia,ONT,HG8145V5,AA:BB:D8:00:01:D8,SN-ONT-00216,single_band
ZTE,ONU,G-140W-C,AA:BB:D9:00:01:D9,SN-ONU-00217,dual_band
TP-Link,Router,Archer C6,AA:BB:DA:00:01:DA,SN-Router-00218,single_band
Cisco,Modem,MB8600,AA:BB:DB:00:01:DB,SN-Modem-00219,dual_band
Huawei,Access Point,EAP225,AA:BB:DC:00:01:DC,SN-AccessPoint-00220,single_band
Nokia,Switch,SG108,AA:BB:DD:00:01:DD,SN-Switch-00221,dual_band
ZTE,ONT,HG8145V5,AA:BB:DE:00:01:DE,SN-ONT-00222,single_band
TP-Link,ONU,G-140W-C,AA:BB:DF:00:01:DF,SN-ONU-00223,dual_band
Cisco,Router,Archer C6,AA:BB:E0:00:01:E0,SN-Router-00224,single_band
Huawei,Modem,MB8600,AA:BB:E1:00:01:E1,SN-Modem-00225,dual_band
Nokia,Access Point,EAP225,AA:BB:E2:00:01:E2,SN-AccessPoint-00226,single_band
ZTE,Switch,SG108,AA:BB:E3:00:01:E3,SN-Switch-00227,dual_band
TP-Link,ONT,HG8145V5,AA:BB:E4:00:01:E4,SN-ONT-00228,single_band
Cisco,ONU,G-140W-C,AA:BB:E5:00:01:E5,SN-ONU-00229,dual_band
Huawei,Router,Archer C6,AA:BB:E6:00:01:E6,SN-Router-00230,single_band
Nokia,Modem,MB8600,AA:BB:E7:00:01:E7,SN-Modem-00231,dual_band
ZTE,Access Point,EAP225,AA:BB:E8:00:01:E8,SN-AccessPoint-00232,single_band
TP-Link,Switch,SG108,AA:BB:E9:00:01:E9,SN-Switch-00233,dual_band
Cisco,ONT,HG8145V5,AA:BB:EA:00:01:EA,SN-ONT-00234,single_band
Huawei,ONU,G-140W-C,AA:BB:EB:00:01:EB,SN-ONU-00235,dual_band
Nokia,Router,Archer C6,AA:BB:EC:00:01:EC,SN-Router-00236,single_band
ZTE,Modem,MB8600,AA:BB:ED:00:01:ED,SN-Modem-00237,dual_band
TP-Link,Access Point,EAP225,AA:BB:EE:00:01:EE,SN-AccessPoint-00238,single_band
Cisco,Switch,SG108,AA:BB:EF:00:01:EF,SN-Switch-00239,dual_band
Huawei,ONT,HG8145V5,AA:BB:F0:00:01:F0,SN-ONT-00240,single_band
Nokia,ONU,G-140W-C,AA:BB:F1:00:01:F1,SN-ONU-00241,dual_band
ZTE,Router,Archer C6,AA:BB:F2:00:01:F2,SN-Router-00242,single_band
TP-Link,Modem,MB8600,AA:BB:F3:00:01:F3,SN-Modem-00243,dual_band
Cisco,Access Point,EAP225,AA:BB:F4:00:01:F4,SN-AccessPoint-00244,single_band
Huawei,Switch,SG108,AA:BB:F5:00:01:F5,SN-Switch-00245,dual_band
Nokia,ONT,HG8145V5,AA:BB:F6:00:01:F6,SN-ONT-00246,single_band
ZTE,ONU,G-140W-C,AA:BB:F7:00:01:F7,SN-ONU-00247,dual_band
TP-Link,Router,Archer C6,AA:BB:F8:00:01:F8,SN-Router-00248,single_band
Cisco,Modem,MB8600,AA:BB:F9:00:01:F9,SN-Modem-00249,dual_band
Huawei,Access Point,EAP225,AA:BB:FA:00:01:FA,SN-AccessPoint-00250,single_band
Nokia,Switch,SG108,AA:BB:FB:00:01:FB,SN-Switch-00251,dual_band
ZTE,ONT,HG8145V5,AA:BB:FC:00:01:FC,SN-ONT-00252,single_band
TP-Link,ONU,G-140W-C,AA:BB:FD:00:01:FD,SN-ONU-00253,dual_band
Cisco,Router,Archer C6,AA:BB:FE:00:01:FE,SN-Router-00254,single_band
Huawei,Modem,MB8600,AA:BB:FF:00:01:FF,SN-Modem-00255,dual_band
Nokia,Access Point,EAP225,AA:BB:00:00:01:00,SN-AccessPoint-00256,single_band
ZTE,Switch,SG108,AA:BB:01:00:01:01,SN-Switch-00257,dual_band
TP-Link,ONT,HG8145V5,AA:BB:02:00:01:02,SN-ONT-00258,single_band
Cisco,ONU,G-140W-C,AA:BB:03:00:01:03,SN-ONU-00259,dual_band
Huawei,Router,Archer C6,AA:BB:04:00:01:04,SN-Router-00260,single_band
Nokia,Modem,MB8600,AA:BB:05:00:01:05,SN-Modem-00261,dual_band
ZTE,Access Point,EAP225,AA:BB:06:00:01:06,SN-AccessPoint-00262,single_band
TP-Link,Switch,SG108,AA:BB:07:00:01:07,SN-Switch-00263,dual_band
Cisco,ONT,HG8145V5,AA:BB:08:00:01:08,SN-ONT-00264,single_band
Huawei,ONU,G-140W-C,AA:BB:09:00:01:09,SN-ONU-00265,dual_band
Nokia,Router,Archer C6,AA:BB:0A:00:01:0A,SN-Router-00266,single_band
ZTE,Modem,MB8600,AA:BB:0B:00:01:0B,SN-Modem-00267,dual_band
TP-Link,Access Point,EAP225,AA:BB:0C:00:01:0C,SN-AccessPoint-00268,single_band
Cisco,Switch,SG108,AA:BB:0D:00:01:0D,SN-Switch-00269,dual_band
Huawei,ONT,HG8145V5,AA:BB:0E:00:01:0E,SN-ONT-00270,single_band
Nokia,ONU,G-140W-C,AA:BB:0F:00:01:0F,SN-ONU-00271,dual_band
ZTE,Router,Archer C6,AA:BB:10:00:01:10,SN-Router-00272,single_band
TP-Link,Modem,MB8600,AA:BB:11:00:01:11,SN-Modem-00273,dual_band
Cisco,Access Point,EAP225,AA:BB:12:00:01:12,SN-AccessPoint-00274,single_band
Huawei,Switch,SG108,AA:BB:13:00:01:13,SN-Switch-00275,dual_band
Nokia,ONT,HG8145V5,AA:BB:14:00:01:14,SN-ONT-00276,single_band
ZTE,ONU,G-140W-C,AA:BB:15:00:01:15,SN-ONU-00277,dual_band
TP-Link,Router,Archer C6,AA:BB:16:00:01:16,SN-Router-00278,single_band
Cisco,Modem,MB8600,AA:BB:17:00:01:17,SN-Modem-00279,dual_band
Huawei,Access Point,EAP225,AA:BB:18:00:01:18,SN-AccessPoint-00280,single_band
Nokia,Switch,SG108,AA:BB:19:00:01:19,SN-Switch-00281,dual_band
ZTE,ONT,HG8145V5,AA:BB:1A:00:01:1A,SN-ONT-00282,single_band
TP-Link,ONU,G-140W-C,AA:BB:1B:00:01:1B,SN-ONU-00283,dual_band
Cisco,Router,Archer C6,AA:BB:1C:00:01:1C,SN-Router-00284,single_band
Huawei,Modem,MB8600,AA:BB:1D:00:01:1D,SN-Modem-00285,dual_band
Nokia,Access Point,EAP225,AA:BB:1E:00:01:1E,SN-AccessPoint-00286,single_band
ZTE,Switch,SG108,AA:BB:1F:00:01:1F,SN-Switch-00287,dual_band
TP-Link,ONT,HG8145V5,AA:BB:20:00:01:20,SN-ONT-00288,single_band
Cisco,ONU,G-140W-C,AA:BB:21:00:01:21,SN-ONU-00289,dual_band
Huawei,Router,Archer C6,AA:BB:22:00:01:22,SN-Router-00290,single_band
Nokia,Modem,MB8600,AA:BB:23:00:01:23,SN-Modem-00291,dual_band
ZTE,Access Point,EAP225,AA:BB:24:00:01:24,SN-AccessPoint-00292,single_band
TP-Link,Switch,SG108,AA:BB:25:00:01:25,SN-Switch-00293,dual_band
Cisco,ONT,HG8145V5,AA:BB:26:00:01:26,SN-ONT-00294,single_band
Huawei,ONU,G-140W-C,AA:BB:27:00:01:27,SN-ONU-00295,dual_band
Nokia,Router,Archer C6,AA:BB:28:00:01:28,SN-Router-00296,single_band
ZTE,Modem,MB8600,AA:BB:29:00:01:29,SN-Modem-00297,dual_band
TP-Link,Access Point,EAP225,AA:BB:2A:00:01:2A,SN-AccessPoint-00298,single_band
Cisco,Switch,SG108,AA:BB:2B:00:01:2B,SN-Switch-00299,dual_band
Huawei,ONT,HG8145V5,AA:BB:2C:00:01:2C,SN-ONT-00300,single_band
Nokia,ONU,G-140W-C,AA:BB:2D:00:01:2D,SN-ONU-00301,dual_band
ZTE,Router,Archer C6,AA:BB:2E:00:01:2E,SN-Router-00302,single_band
TP-Link,Modem,MB8600,AA:BB:2F:00:01:2F,SN-Modem-00303,dual_band
Cisco,Access Point,EAP225,AA:BB:30:00:01:30,SN-AccessPoint-00304,single_band
Huawei,Switch,SG108,AA:BB:31:00:01:31,SN-Switch-00305,dual_band
Nokia,ONT,HG8145V5,AA:BB:32:00:01:32,SN-ONT-00306,single_band
ZTE,ONU,G-140W-C,AA:BB:33:00:01:33,SN-ONU-00307,dual_band
TP-Link,Router,Archer C6,AA:BB:34:00:01:34,SN-Router-00308,single_band
Cisco,Modem,MB8600,AA:BB:35:00:01:35,SN-Modem-00309,dual_band
Huawei,Access Point,EAP225,AA:BB:36:00:01:36,SN-AccessPoint-00310,single_band
Nokia,Switch,SG108,AA:BB:37:00:01:37,SN-Switch-00311,dual_band
