Vendor,device_type,model,mac_address,serial_number,band_type
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:1C,SN-Other-00028,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:1D,SN-ONT-00029,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:1E,SN-ONU-00030,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:1F,SN-Router-00031,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:20,SN-Switch-00032,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:21,SN-Modem-00033,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:22,SN-AccessPoint-00034,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:23,SN-Other-00035,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:24,SN-ONT-00036,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:25,SN-ONU-00037,single_band
ZTE,Router,RV340,AA:BC:10:00:00:26,SN-Router-00038,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:27,SN-Switch-00039,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:28,SN-Modem-00040,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:29,SN-AccessPoint-00041,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:2A,SN-Other-00042,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:2B,SN-ONT-00043,single_band
ZTE,ONU,F601,AA:BC:10:00:00:2C,SN-ONU-00044,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:2D,SN-Router-00045,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:2E,SN-Switch-00046,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:2F,SN-Modem-00047,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:30,SN-AccessPoint-00048,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:31,SN-Other-00049,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:32,SN-ONT-00050,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:33,SN-ONU-00051,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:34,SN-Router-00052,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:35,SN-Switch-00053,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:36,SN-Modem-00054,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:37,SN-AccessPoint-00055,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:38,SN-Other-00056,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:39,SN-ONT-00057,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:3A,SN-ONU-00058,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:3B,SN-Router-00059,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:3C,SN-Switch-00060,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:3D,SN-Modem-00061,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:3E,SN-AccessPoint-00062,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:3F,SN-Other-00063,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:40,SN-ONT-00064,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:41,SN-ONU-00065,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:42,SN-Router-00066,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:43,SN-Switch-00067,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:44,SN-Modem-00068,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:45,SN-AccessPoint-00069,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:46,SN-Other-00070,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:47,SN-ONT-00071,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:48,SN-ONU-00072,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:49,SN-Router-00073,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:4A,SN-Switch-00074,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:4B,SN-Modem-00075,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:4C,SN-AccessPoint-00076,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:4D,SN-Other-00077,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:4E,SN-ONT-00078,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:4F,SN-ONU-00079,single_band
ZTE,Router,RV340,AA:BC:10:00:00:50,SN-Router-00080,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:51,SN-Switch-00081,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:52,SN-Modem-00082,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:53,SN-AccessPoint-00083,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:54,SN-Other-00084,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:55,SN-ONT-00085,single_band
ZTE,ONU,F601,AA:BC:10:00:00:56,SN-ONU-00086,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:57,SN-Router-00087,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:58,SN-Switch-00088,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:59,SN-Modem-00089,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:5A,SN-AccessPoint-00090,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:5B,SN-Other-00091,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:5C,SN-ONT-00092,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:5D,SN-ONU-00093,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:5E,SN-Router-00094,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:5F,SN-Switch-00095,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:60,SN-Modem-00096,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:61,SN-AccessPoint-00097,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:62,SN-Other-00098,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:63,SN-ONT-00099,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:64,SN-ONU-00100,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:65,SN-Router-00101,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:66,SN-Switch-00102,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:67,SN-Modem-00103,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:68,SN-AccessPoint-00104,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:69,SN-Other-00105,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:6A,SN-ONT-00106,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:6B,SN-ONU-00107,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:6C,SN-Router-00108,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:6D,SN-Switch-00109,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:6E,SN-Modem-00110,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:6F,SN-AccessPoint-00111,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:70,SN-Other-00112,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:71,SN-ONT-00113,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:72,SN-ONU-00114,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:73,SN-Router-00115,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:74,SN-Switch-00116,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:75,SN-Modem-00117,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:76,SN-AccessPoint-00118,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:77,SN-Other-00119,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:78,SN-ONT-00120,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:79,SN-ONU-00121,single_band
ZTE,Router,RV340,AA:BC:10:00:00:7A,SN-Router-00122,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:7B,SN-Switch-00123,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:7C,SN-Modem-00124,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:7D,SN-AccessPoint-00125,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:7E,SN-Other-00126,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:7F,SN-ONT-00127,single_band
ZTE,ONU,F601,AA:BC:10:00:00:80,SN-ONU-00128,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:81,SN-Router-00129,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:82,SN-Switch-00130,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:83,SN-Modem-00131,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:84,SN-AccessPoint-00132,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:85,SN-Other-00133,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:86,SN-ONT-00134,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:87,SN-ONU-00135,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:88,SN-Router-00136,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:89,SN-Switch-00137,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:8A,SN-Modem-00138,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:8B,SN-AccessPoint-00139,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:8C,SN-Other-00140,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:8D,SN-ONT-00141,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:8E,SN-ONU-00142,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:8F,SN-Router-00143,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:90,SN-Switch-00144,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:91,SN-Modem-00145,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:92,SN-AccessPoint-00146,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:93,SN-Other-00147,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:94,SN-ONT-00148,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:95,SN-ONU-00149,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:96,SN-Router-00150,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:97,SN-Switch-00151,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:98,SN-Modem-00152,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:99,SN-AccessPoint-00153,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:9A,SN-Other-00154,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:9B,SN-ONT-00155,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:9C,SN-ONU-00156,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:9D,SN-Router-00157,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:9E,SN-Switch-00158,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:9F,SN-Modem-00159,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:A0,SN-AccessPoint-00160,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:A1,SN-Other-00161,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:A2,SN-ONT-00162,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:A3,SN-ONU-00163,single_band
ZTE,Router,RV340,AA:BC:10:00:00:A4,SN-Router-00164,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:A5,SN-Switch-00165,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:A6,SN-Modem-00166,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:A7,SN-AccessPoint-00167,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:A8,SN-Other-00168,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:A9,SN-ONT-00169,single_band
ZTE,ONU,F601,AA:BC:10:00:00:AA,SN-ONU-00170,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:AB,SN-Router-00171,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:AC,SN-Switch-00172,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:AD,SN-Modem-00173,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:AE,SN-AccessPoint-00174,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:AF,SN-Other-00175,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:B0,SN-ONT-00176,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:B1,SN-ONU-00177,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:B2,SN-Router-00178,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:B3,SN-Switch-00179,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:B4,SN-Modem-00180,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:B5,SN-AccessPoint-00181,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:B6,SN-Other-00182,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:B7,SN-ONT-00183,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:B8,SN-ONU-00184,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:B9,SN-Router-00185,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:BA,SN-Switch-00186,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:BB,SN-Modem-00187,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:BC,SN-AccessPoint-00188,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:BD,SN-Other-00189,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:BE,SN-ONT-00190,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:BF,SN-ONU-00191,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:C0,SN-Router-00192,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:C1,SN-Switch-00193,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:C2,SN-Modem-00194,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:C3,SN-AccessPoint-00195,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:C4,SN-Other-00196,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:C5,SN-ONT-00197,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:C6,SN-ONU-00198,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:C7,SN-Router-00199,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:C8,SN-Switch-00200,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:C9,SN-Modem-00201,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:CA,SN-AccessPoint-00202,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:CB,SN-Other-00203,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:CC,SN-ONT-00204,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:CD,SN-ONU-00205,single_band
ZTE,Router,RV340,AA:BC:10:00:00:CE,SN-Router-00206,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:CF,SN-Switch-00207,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:D0,SN-Modem-00208,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:D1,SN-AccessPoint-00209,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:D2,SN-Other-00210,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:D3,SN-ONT-00211,single_band
ZTE,ONU,F601,AA:BC:10:00:00:D4,SN-ONU-00212,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:D5,SN-Router-00213,single_band
TP-Link,Switch,SG108,AA:BC:10:00:00:D6,SN-Switch-00214,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:00:D7,SN-Modem-00215,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:00:D8,SN-AccessPoint-00216,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:00:D9,SN-Other-00217,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:00:DA,SN-ONT-00218,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:00:DB,SN-ONU-00219,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:00:DC,SN-Router-00220,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:00:DD,SN-Switch-00221,single_band
D-Link,Modem,TC4400,AA:BC:10:00:00:DE,SN-Modem-00222,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:00:DF,SN-AccessPoint-00223,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:00:E0,SN-Other-00224,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:00:E1,SN-ONT-00225,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:00:E2,SN-ONU-00226,dual_band
Cisco,Router,RV340,AA:BC:10:00:00:E3,SN-Router-00227,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:00:E4,SN-Switch-00228,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:00:E5,SN-Modem-00229,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:00:E6,SN-AccessPoint-00230,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:00:E7,SN-Other-00231,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:00:E8,SN-ONT-00232,dual_band
Cisco,ONU,F601,AA:BC:10:00:00:E9,SN-ONU-00233,single_band
D-Link,Router,AX1800,AA:BC:10:00:00:EA,SN-Router-00234,dual_band
Huawei,Switch,SG108,AA:BC:10:00:00:EB,SN-Switch-00235,single_band
ZTE,Modem,CM1200,AA:BC:10:00:00:EC,SN-Modem-00236,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:00:ED,SN-AccessPoint-00237,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:00:EE,SN-Other-00238,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:00:EF,SN-ONT-00239,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:00:F0,SN-ONU-00240,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:00:F1,SN-Router-00241,single_band
ZTE,Switch,CBS110,AA:BC:10:00:00:F2,SN-Switch-00242,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:00:F3,SN-Modem-00243,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:00:F4,SN-AccessPoint-00244,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:00:F5,SN-Other-00245,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:00:F6,SN-ONT-00246,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:00:F7,SN-ONU-00247,single_band
ZTE,Router,RV340,AA:BC:10:00:00:F8,SN-Router-00248,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:00:F9,SN-Switch-00249,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:00:FA,SN-Modem-00250,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:00:FB,SN-AccessPoint-00251,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:00:FC,SN-Other-00252,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:00:FD,SN-ONT-00253,single_band
ZTE,ONU,F601,AA:BC:10:00:00:FE,SN-ONU-00254,dual_band
Nokia,Router,AX1800,AA:BC:10:00:00:FF,SN-Router-00255,single_band
TP-Link,Switch,SG108,AA:BC:10:00:01:00,SN-Switch-00256,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:01:01,SN-Modem-00257,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:01:02,SN-AccessPoint-00258,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:01:03,SN-Other-00259,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:01:04,SN-ONT-00260,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:01:05,SN-ONU-00261,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:01:06,SN-Router-00262,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:01:07,SN-Switch-00263,single_band
D-Link,Modem,TC4400,AA:BC:10:00:01:08,SN-Modem-00264,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:01:09,SN-AccessPoint-00265,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:01:0A,SN-Other-00266,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:01:0B,SN-ONT-00267,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:01:0C,SN-ONU-00268,dual_band
Cisco,Router,RV340,AA:BC:10:00:01:0D,SN-Router-00269,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:01:0E,SN-Switch-00270,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:01:0F,SN-Modem-00271,single_band
ZTE,Access Point,WAP150,AA:BC:10:00:01:10,SN-AccessPoint-00272,dual_band
Nokia,Other,Generic-Device-C,AA:BC:10:00:01:11,SN-Other-00273,single_band
TP-Link,ONT,HG8145V5,AA:BC:10:00:01:12,SN-ONT-00274,dual_band
Cisco,ONU,F601,AA:BC:10:00:01:13,SN-ONU-00275,single_band
D-Link,Router,AX1800,AA:BC:10:00:01:14,SN-Router-00276,dual_band
Huawei,Switch,SG108,AA:BC:10:00:01:15,SN-Switch-00277,single_band
ZTE,Modem,CM1200,AA:BC:10:00:01:16,SN-Modem-00278,dual_band
Nokia,Access Point,U6-Lite,AA:BC:10:00:01:17,SN-AccessPoint-00279,single_band
TP-Link,Other,Generic-Device-A,AA:BC:10:00:01:18,SN-Other-00280,dual_band
Cisco,ONT,ZXHN-F680,AA:BC:10:00:01:19,SN-ONT-00281,single_band
D-Link,ONU,AN5506-01,AA:BC:10:00:01:1A,SN-ONU-00282,dual_band
Huawei,Router,Archer C6,AA:BC:10:00:01:1B,SN-Router-00283,single_band
ZTE,Switch,CBS110,AA:BC:10:00:01:1C,SN-Switch-00284,dual_band
Nokia,Modem,TC4400,AA:BC:10:00:01:1D,SN-Modem-00285,single_band
TP-Link,Access Point,EAP225,AA:BC:10:00:01:1E,SN-AccessPoint-00286,dual_band
Cisco,Other,Generic-Device-B,AA:BC:10:00:01:1F,SN-Other-00287,single_band
D-Link,ONT,G-2425G-A,AA:BC:10:00:01:20,SN-ONT-00288,dual_band
Huawei,ONU,G-140W-C,AA:BC:10:00:01:21,SN-ONU-00289,single_band
ZTE,Router,RV340,AA:BC:10:00:01:22,SN-Router-00290,dual_band
Nokia,Switch,DGS-1008A,AA:BC:10:00:01:23,SN-Switch-00291,single_band
TP-Link,Modem,MB8600,AA:BC:10:00:01:24,SN-Modem-00292,dual_band
Cisco,Access Point,WAP150,AA:BC:10:00:01:25,SN-AccessPoint-00293,single_band
D-Link,Other,Generic-Device-C,AA:BC:10:00:01:26,SN-Other-00294,dual_band
Huawei,ONT,HG8145V5,AA:BC:10:00:01:27,SN-ONT-00295,single_band
ZTE,ONU,F601,AA:BC:10:00:01:28,SN-ONU-00296,dual_band
Nokia,Router,AX1800,AA:BC:10:00:01:29,SN-Router-00297,single_band
TP-Link,Switch,SG108,AA:BC:10:00:01:2A,SN-Switch-00298,dual_band
Cisco,Modem,CM1200,AA:BC:10:00:01:2B,SN-Modem-00299,single_band
D-Link,Access Point,U6-Lite,AA:BC:10:00:01:2C,SN-AccessPoint-00300,dual_band
Huawei,Other,Generic-Device-A,AA:BC:10:00:01:2D,SN-Other-00301,single_band
ZTE,ONT,ZXHN-F680,AA:BC:10:00:01:2E,SN-ONT-00302,dual_band
Nokia,ONU,AN5506-01,AA:BC:10:00:01:2F,SN-ONU-00303,single_band
TP-Link,Router,Archer C6,AA:BC:10:00:01:30,SN-Router-00304,dual_band
Cisco,Switch,CBS110,AA:BC:10:00:01:31,SN-Switch-00305,single_band
D-Link,Modem,TC4400,AA:BC:10:00:01:32,SN-Modem-00306,dual_band
Huawei,Access Point,EAP225,AA:BC:10:00:01:33,SN-AccessPoint-00307,single_band
ZTE,Other,Generic-Device-B,AA:BC:10:00:01:34,SN-Other-00308,dual_band
Nokia,ONT,G-2425G-A,AA:BC:10:00:01:35,SN-ONT-00309,single_band
TP-Link,ONU,G-140W-C,AA:BC:10:00:01:36,SN-ONU-00310,dual_band
Cisco,Router,RV340,AA:BC:10:00:01:37,SN-Router-00311,single_band
D-Link,Switch,DGS-1008A,AA:BC:10:00:01:38,SN-Switch-00312,dual_band
Huawei,Modem,MB8600,AA:BC:10:00:01:39,SN-Modem-00313,single_band
