Vendor,device_type,model,mac_address,serial_number,band_type
MikroTik,Router,hEX-S,02:00:00:00:00:8F,SN-ROUTER-00143,single_band
Netgear,Switch,GS308,02:00:00:00:00:90,SN-SWITCH-00144,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:91,SN-ONU-00145,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:92,SN-ONT-00146,dual_band
ZTE,ONU,F601,02:00:00:00:00:93,SN-ONU-00147,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:94,SN-ROUTER-00148,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:95,SN-MODEM-00149,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:96,SN-ACCESSPOINT-00150,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:97,SN-ROUTER-00151,single_band
Netgear,Switch,GS308,02:00:00:00:00:98,SN-SWITCH-00152,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:99,SN-ONU-00153,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:9A,SN-ONT-00154,dual_band
ZTE,ONU,F601,02:00:00:00:00:9B,SN-ONU-00155,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:9C,SN-ROUTER-00156,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:9D,SN-MODEM-00157,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:9E,SN-ACCESSPOINT-00158,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:9F,SN-ROUTER-00159,single_band
Netgear,Switch,GS308,02:00:00:00:00:A0,SN-SWITCH-00160,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:A1,SN-ONU-00161,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:A2,SN-ONT-00162,dual_band
ZTE,ONU,F601,02:00:00:00:00:A3,SN-ONU-00163,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:A4,SN-ROUTER-00164,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:A5,SN-MODEM-00165,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:A6,SN-ACCESSPOINT-00166,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:A7,SN-ROUTER-00167,single_band
Netgear,Switch,GS308,02:00:00:00:00:A8,SN-SWITCH-00168,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:A9,SN-ONU-00169,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:AA,SN-ONT-00170,dual_band
ZTE,ONU,F601,02:00:00:00:00:AB,SN-ONU-00171,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:AC,SN-ROUTER-00172,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:AD,SN-MODEM-00173,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:AE,SN-ACCESSPOINT-00174,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:AF,SN-ROUTER-00175,single_band
Netgear,Switch,GS308,02:00:00:00:00:B0,SN-SWITCH-00176,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:B1,SN-ONU-00177,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:B2,SN-ONT-00178,dual_band
ZTE,ONU,F601,02:00:00:00:00:B3,SN-ONU-00179,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:B4,SN-ROUTER-00180,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:B5,SN-MODEM-00181,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:B6,SN-ACCESSPOINT-00182,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:B7,SN-ROUTER-00183,single_band
Netgear,Switch,GS308,02:00:00:00:00:B8,SN-SWITCH-00184,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:B9,SN-ONU-00185,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:BA,SN-ONT-00186,dual_band
ZTE,ONU,F601,02:00:00:00:00:BB,SN-ONU-00187,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:BC,SN-ROUTER-00188,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:BD,SN-MODEM-00189,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:BE,SN-ACCESSPOINT-00190,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:BF,SN-ROUTER-00191,single_band
Netgear,Switch,GS308,02:00:00:00:00:C0,SN-SWITCH-00192,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:C1,SN-ONU-00193,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:C2,SN-ONT-00194,dual_band
ZTE,ONU,F601,02:00:00:00:00:C3,SN-ONU-00195,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:C4,SN-ROUTER-00196,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:C5,SN-MODEM-00197,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:C6,SN-ACCESSPOINT-00198,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:C7,SN-ROUTER-00199,single_band
Netgear,Switch,GS308,02:00:00:00:00:C8,SN-SWITCH-00200,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:C9,SN-ONU-00201,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:CA,SN-ONT-00202,dual_band
ZTE,ONU,F601,02:00:00:00:00:CB,SN-ONU-00203,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:CC,SN-ROUTER-00204,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:CD,SN-MODEM-00205,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:CE,SN-ACCESSPOINT-00206,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:CF,SN-ROUTER-00207,single_band
Netgear,Switch,GS308,02:00:00:00:00:D0,SN-SWITCH-00208,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:D1,SN-ONU-00209,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:D2,SN-ONT-00210,dual_band
ZTE,ONU,F601,02:00:00:00:00:D3,SN-ONU-00211,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:D4,SN-ROUTER-00212,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:D5,SN-MODEM-00213,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:D6,SN-ACCESSPOINT-00214,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:D7,SN-ROUTER-00215,single_band
Netgear,Switch,GS308,02:00:00:00:00:D8,SN-SWITCH-00216,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:D9,SN-ONU-00217,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:DA,SN-ONT-00218,dual_band
ZTE,ONU,F601,02:00:00:00:00:DB,SN-ONU-00219,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:DC,SN-ROUTER-00220,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:DD,SN-MODEM-00221,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:DE,SN-ACCESSPOINT-00222,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:DF,SN-ROUTER-00223,single_band
Netgear,Switch,GS308,02:00:00:00:00:E0,SN-SWITCH-00224,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:E1,SN-ONU-00225,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:E2,SN-ONT-00226,dual_band
ZTE,ONU,F601,02:00:00:00:00:E3,SN-ONU-00227,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:E4,SN-ROUTER-00228,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:E5,SN-MODEM-00229,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:E6,SN-ACCESSPOINT-00230,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:E7,SN-ROUTER-00231,single_band
Netgear,Switch,GS308,02:00:00:00:00:E8,SN-SWITCH-00232,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:E9,SN-ONU-00233,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:EA,SN-ONT-00234,dual_band
ZTE,ONU,F601,02:00:00:00:00:EB,SN-ONU-00235,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:EC,SN-ROUTER-00236,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:ED,SN-MODEM-00237,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:EE,SN-ACCESSPOINT-00238,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:EF,SN-ROUTER-00239,single_band
Netgear,Switch,GS308,02:00:00:00:00:F0,SN-SWITCH-00240,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:F1,SN-ONU-00241,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:F2,SN-ONT-00242,dual_band
ZTE,ONU,F601,02:00:00:00:00:F3,SN-ONU-00243,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:F4,SN-ROUTER-00244,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:F5,SN-MODEM-00245,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:F6,SN-ACCESSPOINT-00246,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:F7,SN-ROUTER-00247,single_band
Netgear,Switch,GS308,02:00:00:00:00:F8,SN-SWITCH-00248,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:00:F9,SN-ONU-00249,single_band
Huawei,ONT,HG8245H,02:00:00:00:00:FA,SN-ONT-00250,dual_band
ZTE,ONU,F601,02:00:00:00:00:FB,SN-ONU-00251,single_band
TP-Link,Router,Archer C6,02:00:00:00:00:FC,SN-ROUTER-00252,dual_band
Cisco,Modem,MB8600,02:00:00:00:00:FD,SN-MODEM-00253,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:00:FE,SN-ACCESSPOINT-00254,dual_band
MikroTik,Router,hEX-S,02:00:00:00:00:FF,SN-ROUTER-00255,single_band
Netgear,Switch,GS308,02:00:00:00:01:00,SN-SWITCH-00256,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:01,SN-ONU-00257,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:02,SN-ONT-00258,dual_band
ZTE,ONU,F601,02:00:00:00:01:03,SN-ONU-00259,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:04,SN-ROUTER-00260,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:05,SN-MODEM-00261,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:06,SN-ACCESSPOINT-00262,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:07,SN-ROUTER-00263,single_band
Netgear,Switch,GS308,02:00:00:00:01:08,SN-SWITCH-00264,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:09,SN-ONU-00265,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:0A,SN-ONT-00266,dual_band
ZTE,ONU,F601,02:00:00:00:01:0B,SN-ONU-00267,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:0C,SN-ROUTER-00268,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:0D,SN-MODEM-00269,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:0E,SN-ACCESSPOINT-00270,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:0F,SN-ROUTER-00271,single_band
Netgear,Switch,GS308,02:00:00:00:01:10,SN-SWITCH-00272,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:11,SN-ONU-00273,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:12,SN-ONT-00274,dual_band
ZTE,ONU,F601,02:00:00:00:01:13,SN-ONU-00275,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:14,SN-ROUTER-00276,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:15,SN-MODEM-00277,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:16,SN-ACCESSPOINT-00278,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:17,SN-ROUTER-00279,single_band
Netgear,Switch,GS308,02:00:00:00:01:18,SN-SWITCH-00280,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:19,SN-ONU-00281,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:1A,SN-ONT-00282,dual_band
ZTE,ONU,F601,02:00:00:00:01:1B,SN-ONU-00283,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:1C,SN-ROUTER-00284,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:1D,SN-MODEM-00285,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:1E,SN-ACCESSPOINT-00286,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:1F,SN-ROUTER-00287,single_band
Netgear,Switch,GS308,02:00:00:00:01:20,SN-SWITCH-00288,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:21,SN-ONU-00289,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:22,SN-ONT-00290,dual_band
ZTE,ONU,F601,02:00:00:00:01:23,SN-ONU-00291,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:24,SN-ROUTER-00292,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:25,SN-MODEM-00293,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:26,SN-ACCESSPOINT-00294,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:27,SN-ROUTER-00295,single_band
Netgear,Switch,GS308,02:00:00:00:01:28,SN-SWITCH-00296,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:29,SN-ONU-00297,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:2A,SN-ONT-00298,dual_band
ZTE,ONU,F601,02:00:00:00:01:2B,SN-ONU-00299,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:2C,SN-ROUTER-00300,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:2D,SN-MODEM-00301,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:2E,SN-ACCESSPOINT-00302,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:2F,SN-ROUTER-00303,single_band
Netgear,Switch,GS308,02:00:00:00:01:30,SN-SWITCH-00304,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:31,SN-ONU-00305,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:32,SN-ONT-00306,dual_band
ZTE,ONU,F601,02:00:00:00:01:33,SN-ONU-00307,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:34,SN-ROUTER-00308,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:35,SN-MODEM-00309,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:36,SN-ACCESSPOINT-00310,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:37,SN-ROUTER-00311,single_band
Netgear,Switch,GS308,02:00:00:00:01:38,SN-SWITCH-00312,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:39,SN-ONU-00313,single_band
Huawei,ONT,HG8245H,02:00:00:00:01:3A,SN-ONT-00314,dual_band
ZTE,ONU,F601,02:00:00:00:01:3B,SN-ONU-00315,single_band
TP-Link,Router,Archer C6,02:00:00:00:01:3C,SN-ROUTER-00316,dual_band
Cisco,Modem,MB8600,02:00:00:00:01:3D,SN-MODEM-00317,single_band
Ubiquiti,Access Point,EAP225,02:00:00:00:01:3E,SN-ACCESSPOINT-00318,dual_band
MikroTik,Router,hEX-S,02:00:00:00:01:3F,SN-ROUTER-00319,single_band
Netgear,Switch,GS308,02:00:00:00:01:40,SN-SWITCH-00320,dual_band
Nokia,ONU,G-140W-C,02:00:00:00:01:41,SN-ONU-00321,single_band
